station,lat,lon,timestamp,aqi,pm25,pm10,no2,o3,category
Anand Vihar,28.6,77.2,2026-07-13 00:00:00,202,108.6,164.7,49.6,31.6,Very Unhealthy
Anand Vihar,28.6,77.2,2026-07-13 01:00:00,167,98.5,141.2,40.7,15.1,Unhealthy
Anand Vihar,28.6,77.2,2026-07-13 02:00:00,167,93.7,130.1,33.5,31.5,Unhealthy
Anand Vihar,28.6,77.2,2026-07-13 03:00:00,170,97.3,142.9,48.3,26.7,Unhealthy
Anand Vihar,28.6,77.2,2026-07-13 04:00:00,193,104.4,149.5,50.1,22.3,Unhealthy
Anand Vihar,28.6,77.2,2026-07-13 05:00:00,182,102.8,150.5,43.6,31.1,Unhealthy
Anand Vihar,28.6,77.2,2026-07-13 06:00:00,244,141.4,187.9,50.6,43.9,Very Unhealthy
Anand Vihar,28.6,77.2,2026-07-13 07:00:00,274,149.2,207.2,76.1,43.7,Very Unhealthy
Anand Vihar,28.6,77.2,2026-07-13 08:00:00,318,190.7,245.9,76.9,40.2,Hazardous
Anand Vihar,28.6,77.2,2026-07-13 09:00:00,287,163.7,228.2,74.4,46.0,Very Unhealthy
Anand Vihar,28.6,77.2,2026-07-13 10:00:00,341,187.0,260.3,87.9,52.7,Hazardous
Anand Vihar,28.6,77.2,2026-07-13 11:00:00,303,170.1,255.0,73.3,31.6,Hazardous
Anand Vihar,28.6,77.2,2026-07-13 12:00:00,322,176.7,250.9,66.9,35.8,Hazardous
Anand Vihar,28.6,77.2,2026-07-13 13:00:00,296,169.6,242.6,86.8,36.1,Very Unhealthy
Anand Vihar,28.6,77.2,2026-07-13 14:00:00,331,181.1,275.7,80.5,35.7,Hazardous
Anand Vihar,28.6,77.2,2026-07-13 15:00:00,318,179.8,249.6,84.0,45.2,Hazardous
Anand Vihar,28.6,77.2,2026-07-13 16:00:00,307,172.0,239.1,76.8,33.6,Hazardous
Anand Vihar,28.6,77.2,2026-07-13 17:00:00,239,126.1,188.8,68.0,35.2,Very Unhealthy
Anand Vihar,28.6,77.2,2026-07-13 18:00:00,262,133.3,197.2,54.5,35.1,Very Unhealthy
Anand Vihar,28.6,77.2,2026-07-13 19:00:00,263,153.8,210.5,77.4,36.1,Very Unhealthy
Anand Vihar,28.6,77.2,2026-07-13 20:00:00,301,154.0,231.8,87.2,46.8,Hazardous
Anand Vihar,28.6,77.2,2026-07-13 21:00:00,287,170.3,219.4,71.5,39.2,Very Unhealthy
Anand Vihar,28.6,77.2,2026-07-13 22:00:00,300,171.5,234.3,83.8,41.0,Very Unhealthy
Anand Vihar,28.6,77.2,2026-07-13 23:00:00,194,112.6,160.9,40.5,31.1,Unhealthy
Anand Vihar,28.6,77.2,2026-07-14 00:00:00,155,88.3,116.3,45.4,15.0,Unhealthy
Anand Vihar,28.6,77.2,2026-07-14 01:00:00,191,98.7,143.4,55.5,35.5,Unhealthy
Anand Vihar,28.6,77.2,2026-07-14 02:00:00,131,65.8,103.1,35.6,13.3,Unhealthy for Sensitive Groups
Anand Vihar,28.6,77.2,2026-07-14 03:00:00,189,94.7,145.4,41.4,33.8,Unhealthy
Anand Vihar,28.6,77.2,2026-07-14 04:00:00,174,95.4,131.7,36.0,27.0,Unhealthy
Anand Vihar,28.6,77.2,2026-07-14 05:00:00,132,78.3,99.5,38.2,20.3,Unhealthy for Sensitive Groups
Anand Vihar,28.6,77.2,2026-07-14 06:00:00,250,132.0,196.7,59.3,30.4,Very Unhealthy
Anand Vihar,28.6,77.2,2026-07-14 07:00:00,297,151.0,238.7,59.5,33.8,Very Unhealthy
Anand Vihar,28.6,77.2,2026-07-14 08:00:00,342,192.8,290.2,92.6,43.5,Hazardous
Anand Vihar,28.6,77.2,2026-07-14 09:00:00,303,169.0,238.5,81.3,51.1,Hazardous
Anand Vihar,28.6,77.2,2026-07-14 10:00:00,336,191.3,274.4,85.2,45.1,Hazardous
Anand Vihar,28.6,77.2,2026-07-14 11:00:00,313,157.1,246.0,86.6,41.3,Hazardous
Anand Vihar,28.6,77.2,2026-07-14 12:00:00,350,178.8,293.5,83.5,37.2,Hazardous
Anand Vihar,28.6,77.2,2026-07-14 13:00:00,326,172.6,263.8,72.6,34.8,Hazardous
Anand Vihar,28.6,77.2,2026-07-14 14:00:00,285,152.8,215.4,69.2,36.3,Very Unhealthy
Anand Vihar,28.6,77.2,2026-07-14 15:00:00,361,199.1,290.0,74.9,50.8,Hazardous
Anand Vihar,28.6,77.2,2026-07-14 16:00:00,306,175.4,238.7,78.7,42.0,Hazardous
Anand Vihar,28.6,77.2,2026-07-14 17:00:00,284,166.3,217.5,66.5,35.8,Very Unhealthy
Anand Vihar,28.6,77.2,2026-07-14 18:00:00,304,180.7,233.0,80.8,48.3,Hazardous
Anand Vihar,28.6,77.2,2026-07-14 19:00:00,207,119.4,170.3,46.5,26.9,Very Unhealthy
Anand Vihar,28.6,77.2,2026-07-14 20:00:00,338,195.3,273.8,70.8,51.1,Hazardous
Anand Vihar,28.6,77.2,2026-07-14 21:00:00,346,202.9,292.8,102.7,49.0,Hazardous
Anand Vihar,28.6,77.2,2026-07-14 22:00:00,306,170.8,243.8,84.7,47.6,Hazardous
Anand Vihar,28.6,77.2,2026-07-14 23:00:00,157,87.0,122.6,46.6,15.5,Unhealthy
Anand Vihar,28.6,77.2,2026-07-15 00:00:00,220,115.7,168.3,47.4,35.0,Very Unhealthy
Anand Vihar,28.6,77.2,2026-07-15 01:00:00,178,94.5,149.2,50.1,20.3,Unhealthy
Anand Vihar,28.6,77.2,2026-07-15 02:00:00,203,106.7,155.3,42.3,26.6,Very Unhealthy
Anand Vihar,28.6,77.2,2026-07-15 03:00:00,174,88.9,143.1,42.7,28.8,Unhealthy
Anand Vihar,28.6,77.2,2026-07-15 04:00:00,127,71.1,104.0,36.1,17.6,Unhealthy for Sensitive Groups
Anand Vihar,28.6,77.2,2026-07-15 05:00:00,159,83.5,133.9,43.2,24.3,Unhealthy
Anand Vihar,28.6,77.2,2026-07-15 06:00:00,273,163.6,218.3,74.1,37.8,Very Unhealthy
Anand Vihar,28.6,77.2,2026-07-15 07:00:00,278,152.0,232.9,60.6,47.6,Very Unhealthy
Anand Vihar,28.6,77.2,2026-07-15 08:00:00,361,180.9,304.6,73.6,42.5,Hazardous
Anand Vihar,28.6,77.2,2026-07-15 09:00:00,349,178.0,265.7,94.2,49.4,Hazardous
Anand Vihar,28.6,77.2,2026-07-15 10:00:00,283,148.1,217.2,84.4,37.7,Very Unhealthy
Anand Vihar,28.6,77.2,2026-07-15 11:00:00,382,194.0,320.6,86.8,46.3,Hazardous
Anand Vihar,28.6,77.2,2026-07-15 12:00:00,352,197.3,264.4,76.4,49.6,Hazardous
Anand Vihar,28.6,77.2,2026-07-15 13:00:00,340,201.6,284.8,78.3,38.9,Hazardous
Anand Vihar,28.6,77.2,2026-07-15 14:00:00,361,195.3,277.2,102.4,51.6,Hazardous
Anand Vihar,28.6,77.2,2026-07-15 15:00:00,346,173.3,284.6,79.8,36.7,Hazardous
Anand Vihar,28.6,77.2,2026-07-15 16:00:00,278,142.4,230.7,83.4,45.5,Very Unhealthy
Anand Vihar,28.6,77.2,2026-07-15 17:00:00,300,154.9,242.8,66.6,38.7,Very Unhealthy
Anand Vihar,28.6,77.2,2026-07-15 18:00:00,224,127.6,171.5,61.4,28.5,Very Unhealthy
Anand Vihar,28.6,77.2,2026-07-15 19:00:00,234,123.5,183.1,67.6,24.8,Very Unhealthy
Anand Vihar,28.6,77.2,2026-07-15 20:00:00,340,197.7,272.7,90.7,45.9,Hazardous
Anand Vihar,28.6,77.2,2026-07-15 21:00:00,332,195.2,268.2,81.8,39.8,Hazardous
Anand Vihar,28.6,77.2,2026-07-15 22:00:00,348,205.4,262.3,74.9,47.1,Hazardous
Anand Vihar,28.6,77.2,2026-07-15 23:00:00,156,93.6,117.8,41.0,33.3,Unhealthy
Anand Vihar,28.6,77.2,2026-07-16 00:00:00,126,67.5,103.1,35.2,27.7,Unhealthy for Sensitive Groups
Anand Vihar,28.6,77.2,2026-07-16 01:00:00,178,99.0,135.6,47.4,19.1,Unhealthy
