station,lat,lon,timestamp,aqi,pm25,pm10,no2,o3,category
Andheri,19.12,72.86,2026-07-13 00:00:00,108,57.6,83.1,25.2,10.2,Unhealthy for Sensitive Groups
Andheri,19.12,72.86,2026-07-13 01:00:00,97,57.4,81.0,24.9,13.3,Moderate
Andheri,19.12,72.86,2026-07-13 02:00:00,86,45.1,67.1,22.1,23.1,Moderate
Andheri,19.12,72.86,2026-07-13 03:00:00,54,31.2,43.7,13.5,6.1,Moderate
Andheri,19.12,72.86,2026-07-13 04:00:00,69,38.0,56.8,17.7,6.5,Moderate
Andheri,19.12,72.86,2026-07-13 05:00:00,63,36.4,51.7,14.8,15.0,Moderate
Andheri,19.12,72.86,2026-07-13 06:00:00,153,78.8,121.6,31.6,19.5,Unhealthy
Andheri,19.12,72.86,2026-07-13 07:00:00,148,79.3,121.8,33.1,25.3,Unhealthy for Sensitive Groups
Andheri,19.12,72.86,2026-07-13 08:00:00,176,100.3,142.4,49.4,33.0,Unhealthy
Andheri,19.12,72.86,2026-07-13 09:00:00,187,108.9,158.3,38.2,28.2,Unhealthy
Andheri,19.12,72.86,2026-07-13 10:00:00,213,110.2,167.0,63.5,34.4,Very Unhealthy
Andheri,19.12,72.86,2026-07-13 11:00:00,178,100.6,141.4,41.4,34.0,Unhealthy
Andheri,19.12,72.86,2026-07-13 12:00:00,193,105.4,156.1,46.4,33.4,Unhealthy
Andheri,19.12,72.86,2026-07-13 13:00:00,178,97.5,138.0,42.6,20.5,Unhealthy
Andheri,19.12,72.86,2026-07-13 14:00:00,192,107.8,146.4,56.6,27.3,Unhealthy
Andheri,19.12,72.86,2026-07-13 15:00:00,181,99.8,142.7,40.3,35.7,Unhealthy
Andheri,19.12,72.86,2026-07-13 16:00:00,153,91.1,126.1,44.8,24.3,Unhealthy
Andheri,19.12,72.86,2026-07-13 17:00:00,150,85.2,113.0,41.8,14.6,Unhealthy for Sensitive Groups
Andheri,19.12,72.86,2026-07-13 18:00:00,130,66.8,99.7,29.6,24.2,Unhealthy for Sensitive Groups
Andheri,19.12,72.86,2026-07-13 19:00:00,120,64.9,96.4,30.8,15.2,Unhealthy for Sensitive Groups
Andheri,19.12,72.86,2026-07-13 20:00:00,186,107.8,154.5,55.3,31.3,Unhealthy
Andheri,19.12,72.86,2026-07-13 21:00:00,183,108.3,154.4,41.7,19.4,Unhealthy
Andheri,19.12,72.86,2026-07-13 22:00:00,166,90.1,128.7,46.3,23.0,Unhealthy
Andheri,19.12,72.86,2026-07-13 23:00:00,94,55.4,74.1,26.3,23.4,Moderate
Andheri,19.12,72.86,2026-07-14 00:00:00,82,43.1,62.1,19.6,7.3,Moderate
Andheri,19.12,72.86,2026-07-14 01:00:00,91,46.3,70.9,18.8,9.4,Moderate
Andheri,19.12,72.86,2026-07-14 02:00:00,61,35.5,49.7,12.9,9.1,Moderate
Andheri,19.12,72.86,2026-07-14 03:00:00,101,57.4,81.8,24.3,13.8,Unhealthy for Sensitive Groups
Andheri,19.12,72.86,2026-07-14 04:00:00,77,39.4,61.5,17.1,21.3,Moderate
Andheri,19.12,72.86,2026-07-14 05:00:00,92,46.4,77.0,27.4,25.9,Moderate
Andheri,19.12,72.86,2026-07-14 06:00:00,153,91.1,124.3,41.5,30.0,Unhealthy
Andheri,19.12,72.86,2026-07-14 07:00:00,158,81.4,130.1,40.8,15.3,Unhealthy
Andheri,19.12,72.86,2026-07-14 08:00:00,149,80.8,118.1,39.8,27.0,Unhealthy for Sensitive Groups
Andheri,19.12,72.86,2026-07-14 09:00:00,199,103.9,168.3,49.7,31.4,Unhealthy
Andheri,19.12,72.86,2026-07-14 10:00:00,180,105.2,142.1,44.1,31.6,Unhealthy
Andheri,19.12,72.86,2026-07-14 11:00:00,195,107.8,161.1,50.7,21.3,Unhealthy
Andheri,19.12,72.86,2026-07-14 12:00:00,181,95.4,138.6,50.9,28.7,Unhealthy
Andheri,19.12,72.86,2026-07-14 13:00:00,186,109.3,141.0,39.9,24.3,Unhealthy
Andheri,19.12,72.86,2026-07-14 14:00:00,186,110.4,143.4,41.4,35.5,Unhealthy
Andheri,19.12,72.86,2026-07-14 15:00:00,193,102.8,160.4,57.2,25.0,Unhealthy
Andheri,19.12,72.86,2026-07-14 16:00:00,176,90.7,144.5,49.7,20.8,Unhealthy
Andheri,19.12,72.86,2026-07-14 17:00:00,148,83.9,114.1,30.0,19.1,Unhealthy for Sensitive Groups
