station,lat,lon,timestamp,aqi,pm25,pm10,no2,o3,category
Bandra,19.06,72.84,2026-07-13 00:00:00,86,48.9,68.6,22.2,8.8,Moderate
Bandra,19.06,72.84,2026-07-13 01:00:00,92,51.9,72.8,25.7,22.7,Moderate
Bandra,19.06,72.84,2026-07-13 02:00:00,65,33.8,53.7,15.9,16.2,Moderate
Bandra,19.06,72.84,2026-07-13 03:00:00,80,40.4,61.7,22.6,14.2,Moderate
Bandra,19.06,72.84,2026-07-13 04:00:00,85,49.9,66.6,17.6,16.7,Moderate
Bandra,19.06,72.84,2026-07-13 05:00:00,60,31.2,46.2,17.6,17.7,Moderate
Bandra,19.06,72.84,2026-07-13 06:00:00,139,71.7,114.4,40.7,23.2,Unhealthy for Sensitive Groups
Bandra,19.06,72.84,2026-07-13 07:00:00,121,70.1,93.8,31.0,25.1,Unhealthy for Sensitive Groups
Bandra,19.06,72.84,2026-07-13 08:00:00,164,88.8,133.1,44.0,15.6,Unhealthy
Bandra,19.06,72.84,2026-07-13 09:00:00,171,100.6,144.9,50.1,21.0,Unhealthy
Bandra,19.06,72.84,2026-07-13 10:00:00,147,86.3,117.2,34.0,14.4,Unhealthy for Sensitive Groups
Bandra,19.06,72.84,2026-07-13 11:00:00,142,84.6,116.4,42.2,12.5,Unhealthy for Sensitive Groups
Bandra,19.06,72.84,2026-07-13 12:00:00,143,74.0,115.7,31.3,28.6,Unhealthy for Sensitive Groups
Bandra,19.06,72.84,2026-07-13 13:00:00,158,79.2,127.9,41.8,19.8,Unhealthy
Bandra,19.06,72.84,2026-07-13 14:00:00,166,87.2,134.3,45.8,23.8,Unhealthy
Bandra,19.06,72.84,2026-07-13 15:00:00,141,73.0,105.9,34.1,14.9,Unhealthy for Sensitive Groups
Bandra,19.06,72.84,2026-07-13 16:00:00,135,77.2,109.6,30.2,21.4,Unhealthy for Sensitive Groups
Bandra,19.06,72.84,2026-07-13 17:00:00,113,62.5,89.2,33.4,17.6,Unhealthy for Sensitive Groups
Bandra,19.06,72.84,2026-07-13 18:00:00,115,60.3,97.3,23.3,21.6,Unhealthy for Sensitive Groups
Bandra,19.06,72.84,2026-07-13 19:00:00,107,54.4,87.1,26.0,18.5,Unhealthy for Sensitive Groups
Bandra,19.06,72.84,2026-07-13 20:00:00,168,99.7,140.7,49.2,18.1,Unhealthy
Bandra,19.06,72.84,2026-07-13 21:00:00,131,72.8,110.5,31.4,28.4,Unhealthy for Sensitive Groups
Bandra,19.06,72.84,2026-07-13 22:00:00,135,80.5,102.5,28.7,25.3,Unhealthy for Sensitive Groups
Bandra,19.06,72.84,2026-07-13 23:00:00,92,52.2,69.9,25.4,15.9,Moderate
Bandra,19.06,72.84,2026-07-14 00:00:00,92,50.4,71.3,25.6,16.4,Moderate
