station,lat,lon,timestamp,aqi,pm25,pm10,no2,o3,category
Bawana,28.78,77.03,2026-07-13 00:00:00,172,97.6,145.1,40.4,19.4,Unhealthy
Bawana,28.78,77.03,2026-07-13 01:00:00,154,81.1,125.6,41.8,28.8,Unhealthy
Bawana,28.78,77.03,2026-07-13 02:00:00,154,79.5,130.0,33.1,32.1,Unhealthy
Bawana,28.78,77.03,2026-07-13 03:00:00,131,73.6,111.3,28.4,14.1,Unhealthy for Sensitive Groups
Bawana,28.78,77.03,2026-07-13 04:00:00,144,79.2,108.6,29.4,21.9,Unhealthy for Sensitive Groups
Bawana,28.78,77.03,2026-07-13 05:00:00,135,77.0,111.9,39.1,24.7,Unhealthy for Sensitive Groups
Bawana,28.78,77.03,2026-07-13 06:00:00,231,134.3,184.7,59.3,27.1,Very Unhealthy
Bawana,28.78,77.03,2026-07-13 07:00:00,282,166.8,220.9,75.2,31.2,Very Unhealthy
Bawana,28.78,77.03,2026-07-13 08:00:00,308,168.2,256.8,72.1,38.1,Hazardous
Bawana,28.78,77.03,2026-07-13 09:00:00,311,175.5,248.8,84.6,34.9,Hazardous
Bawana,28.78,77.03,2026-07-13 10:00:00,298,152.5,223.6,69.0,49.7,Very Unhealthy
Bawana,28.78,77.03,2026-07-13 11:00:00,305,167.0,250.0,74.9,39.2,Hazardous
Bawana,28.78,77.03,2026-07-13 12:00:00,331,184.6,261.9,80.7,44.9,Hazardous
Bawana,28.78,77.03,2026-07-13 13:00:00,328,175.3,273.2,72.5,40.4,Hazardous
Bawana,28.78,77.03,2026-07-13 14:00:00,247,133.2,190.4,49.9,25.6,Very Unhealthy
Bawana,28.78,77.03,2026-07-13 15:00:00,258,133.5,216.3,74.1,38.3,Very Unhealthy
Bawana,28.78,77.03,2026-07-13 16:00:00,295,159.0,243.3,74.0,38.5,Very Unhealthy
Bawana,28.78,77.03,2026-07-13 17:00:00,281,144.5,233.5,75.4,32.7,Very Unhealthy
Bawana,28.78,77.03,2026-07-13 18:00:00,230,119.3,194.5,63.8,42.5,Very Unhealthy
Bawana,28.78,77.03,2026-07-13 19:00:00,202,118.6,154.4,51.7,32.1,Very Unhealthy
Bawana,28.78,77.03,2026-07-13 20:00:00,291,174.6,218.3,59.6,41.9,Very Unhealthy
Bawana,28.78,77.03,2026-07-13 21:00:00,292,148.1,242.7,72.0,34.0,Very Unhealthy
Bawana,28.78,77.03,2026-07-13 22:00:00,326,187.0,272.0,80.2,50.2,Hazardous
Bawana,28.78,77.03,2026-07-13 23:00:00,172,99.2,140.7,35.2,16.3,Unhealthy
Bawana,28.78,77.03,2026-07-14 00:00:00,179,105.0,134.8,46.6,32.9,Unhealthy
Bawana,28.78,77.03,2026-07-14 01:00:00,181,95.3,148.1,39.4,31.1,Unhealthy
Bawana,28.78,77.03,2026-07-14 02:00:00,150,79.6,121.9,32.6,14.0,Unhealthy for Sensitive Groups
Bawana,28.78,77.03,2026-07-14 03:00:00,121,63.0,98.4,28.6,14.0,Unhealthy for Sensitive Groups
Bawana,28.78,77.03,2026-07-14 04:00:00,191,100.1,158.5,41.4,18.2,Unhealthy
Bawana,28.78,77.03,2026-07-14 05:00:00,130,72.9,109.4,37.4,14.1,Unhealthy for Sensitive Groups
Bawana,28.78,77.03,2026-07-14 06:00:00,252,132.7,200.2,64.0,44.6,Very Unhealthy
Bawana,28.78,77.03,2026-07-14 07:00:00,284,159.0,220.8,63.2,29.8,Very Unhealthy
Bawana,28.78,77.03,2026-07-14 08:00:00,272,139.4,214.9,59.6,31.7,Very Unhealthy
Bawana,28.78,77.03,2026-07-14 09:00:00,317,173.3,263.0,86.5,49.6,Hazardous
Bawana,28.78,77.03,2026-07-14 10:00:00,345,179.3,260.4,77.2,40.1,Hazardous
Bawana,28.78,77.03,2026-07-14 11:00:00,287,160.4,223.7,63.9,46.5,Very Unhealthy
Bawana,28.78,77.03,2026-07-14 12:00:00,312,173.1,234.4,90.3,44.4,Hazardous
Bawana,28.78,77.03,2026-07-14 13:00:00,341,175.5,278.8,75.0,45.8,Hazardous
Bawana,28.78,77.03,2026-07-14 14:00:00,299,172.4,251.9,75.8,50.7,Very Unhealthy
Bawana,28.78,77.03,2026-07-14 15:00:00,267,154.7,210.6,77.6,34.5,Very Unhealthy
Bawana,28.78,77.03,2026-07-14 16:00:00,289,163.3,218.1,74.9,46.4,Very Unhealthy
Bawana,28.78,77.03,2026-07-14 17:00:00,219,118.8,175.3,62.3,36.7,Very Unhealthy
Bawana,28.78,77.03,2026-07-14 18:00:00,247,133.1,191.2,53.2,28.0,Very Unhealthy
Bawana,28.78,77.03,2026-07-14 19:00:00,231,126.7,183.7,52.4,30.1,Very Unhealthy
Bawana,28.78,77.03,2026-07-14 20:00:00,309,160.4,249.0,67.5,41.6,Hazardous
Bawana,28.78,77.03,2026-07-14 21:00:00,286,162.5,238.5,68.7,40.1,Very Unhealthy
Bawana,28.78,77.03,2026-07-14 22:00:00,318,160.7,261.8,86.8,40.8,Hazardous
Bawana,28.78,77.03,2026-07-14 23:00:00,203,115.3,162.5,51.3,31.6,Very Unhealthy
Bawana,28.78,77.03,2026-07-15 00:00:00,128,64.5,98.2,35.6,28.7,Unhealthy for Sensitive Groups
Bawana,28.78,77.03,2026-07-15 01:00:00,120,69.8,92.3,35.0,20.1,Unhealthy for Sensitive Groups
Bawana,28.78,77.03,2026-07-15 02:00:00,118,65.7,92.4,23.8,20.4,Unhealthy for Sensitive Groups
Bawana,28.78,77.03,2026-07-15 03:00:00,170,90.7,132.6,36.1,28.0,Unhealthy
Bawana,28.78,77.03,2026-07-15 04:00:00,139,75.8,116.9,29.4,23.8,Unhealthy for Sensitive Groups
Bawana,28.78,77.03,2026-07-15 05:00:00,141,80.2,117.2,32.0,28.9,Unhealthy for Sensitive Groups
Bawana,28.78,77.03,2026-07-15 06:00:00,270,149.6,213.0,72.1,46.2,Very Unhealthy
Bawana,28.78,77.03,2026-07-15 07:00:00,274,141.4,205.9,68.6,46.4,Very Unhealthy
Bawana,28.78,77.03,2026-07-15 08:00:00,332,180.5,265.4,78.5,37.8,Hazardous
Bawana,28.78,77.03,2026-07-15 09:00:00,252,131.8,213.8,68.7,42.8,Very Unhealthy
Bawana,28.78,77.03,2026-07-15 10:00:00,338,186.2,277.9,71.5,46.6,Hazardous
Bawana,28.78,77.03,2026-07-15 11:00:00,350,183.3,271.2,97.0,46.9,Hazardous
Bawana,28.78,77.03,2026-07-15 12:00:00,342,195.7,257.5,85.5,51.8,Hazardous
Bawana,28.78,77.03,2026-07-15 13:00:00,302,160.8,249.7,67.8,40.1,Hazardous
Bawana,28.78,77.03,2026-07-15 14:00:00,319,182.4,254.3,74.7,52.3,Hazardous
Bawana,28.78,77.03,2026-07-15 15:00:00,276,138.7,207.7,59.2,43.2,Very Unhealthy
Bawana,28.78,77.03,2026-07-15 16:00:00,267,152.4,220.8,60.3,39.5,Very Unhealthy
