station,lat,lon,timestamp,aqi,pm25,pm10,no2,o3,category
Colaba,18.91,72.81,2026-07-13 00:00:00,61,32.8,48.1,15.8,9.9,Moderate
Colaba,18.91,72.81,2026-07-13 01:00:00,77,43.6,62.0,17.9,15.5,Moderate
Colaba,18.91,72.81,2026-07-13 02:00:00,54,27.9,45.3,14.1,7.2,Moderate
Colaba,18.91,72.81,2026-07-13 03:00:00,66,33.0,52.9,18.7,4.1,Moderate
Colaba,18.91,72.81,2026-07-13 04:00:00,39,21.3,29.7,10.6,9.0,Good
Colaba,18.91,72.81,2026-07-13 05:00:00,70,37.9,57.8,17.6,20.7,Moderate
Colaba,18.91,72.81,2026-07-13 06:00:00,122,67.8,92.6,25.8,26.3,Unhealthy for Sensitive Groups
Colaba,18.91,72.81,2026-07-13 07:00:00,106,59.9,82.2,22.3,12.8,Unhealthy for Sensitive Groups
Colaba,18.91,72.81,2026-07-13 08:00:00,152,84.0,124.0,44.9,27.8,Unhealthy
Colaba,18.91,72.81,2026-07-13 09:00:00,121,71.5,96.4,35.9,15.1,Unhealthy for Sensitive Groups
Colaba,18.91,72.81,2026-07-13 10:00:00,130,66.1,99.7,37.7,26.4,Unhealthy for Sensitive Groups
Colaba,18.91,72.81,2026-07-13 11:00:00,135,78.2,106.2,27.9,13.1,Unhealthy for Sensitive Groups
Colaba,18.91,72.81,2026-07-13 12:00:00,132,78.7,109.0,35.6,22.8,Unhealthy for Sensitive Groups
Colaba,18.91,72.81,2026-07-13 13:00:00,133,73.4,102.0,34.2,26.6,Unhealthy for Sensitive Groups
Colaba,18.91,72.81,2026-07-13 14:00:00,134,71.4,101.3,27.0,28.9,Unhealthy for Sensitive Groups
Colaba,18.91,72.81,2026-07-13 15:00:00,123,65.1,97.4,25.7,20.5,Unhealthy for Sensitive Groups
Colaba,18.91,72.81,2026-07-13 16:00:00,129,75.8,108.1,36.9,26.3,Unhealthy for Sensitive Groups
Colaba,18.91,72.81,2026-07-13 17:00:00,114,66.5,89.2,23.4,11.4,Unhealthy for Sensitive Groups
Colaba,18.91,72.81,2026-07-13 18:00:00,117,61.0,96.4,34.1,12.1,Unhealthy for Sensitive Groups
Colaba,18.91,72.81,2026-07-13 19:00:00,98,49.1,78.8,23.6,21.7,Moderate
Colaba,18.91,72.81,2026-07-13 20:00:00,128,64.1,97.3,28.6,14.3,Unhealthy for Sensitive Groups
Colaba,18.91,72.81,2026-07-13 21:00:00,138,72.1,107.5,32.4,14.1,Unhealthy for Sensitive Groups
Colaba,18.91,72.81,2026-07-13 22:00:00,131,66.2,102.8,37.6,13.5,Unhealthy for Sensitive Groups
Colaba,18.91,72.81,2026-07-13 23:00:00,90,54.0,71.6,22.2,6.3,Moderate
Colaba,18.91,72.81,2026-07-14 00:00:00,73,39.5,56.7,15.5,18.4,Moderate
Colaba,18.91,72.81,2026-07-14 01:00:00,69,39.1,55.0,16.1,18.2,Moderate
