station,lat,lon,timestamp,aqi,pm25,pm10,no2,o3,category
Faridabad,28.41,77.31,2026-07-13 00:00:00,147,75.2,119.5,33.0,14.3,Unhealthy for Sensitive Groups
Faridabad,28.41,77.31,2026-07-13 01:00:00,155,91.6,119.0,40.7,22.9,Unhealthy
Faridabad,28.41,77.31,2026-07-13 02:00:00,90,45.2,70.5,20.7,23.8,Moderate
Faridabad,28.41,77.31,2026-07-13 03:00:00,115,59.1,93.6,31.5,23.9,Unhealthy for Sensitive Groups
Faridabad,28.41,77.31,2026-07-13 04:00:00,81,43.7,61.2,24.2,22.6,Moderate
Faridabad,28.41,77.31,2026-07-13 05:00:00,122,72.1,96.8,32.9,23.4,Unhealthy for Sensitive Groups
Faridabad,28.41,77.31,2026-07-13 06:00:00,228,136.0,183.7,64.4,32.5,Very Unhealthy
Faridabad,28.41,77.31,2026-07-13 07:00:00,230,126.7,193.5,52.2,36.5,Very Unhealthy
Faridabad,28.41,77.31,2026-07-13 08:00:00,250,145.1,203.5,55.9,36.3,Very Unhealthy
Faridabad,28.41,77.31,2026-07-13 09:00:00,295,148.8,226.7,86.6,47.6,Very Unhealthy
Faridabad,28.41,77.31,2026-07-13 10:00:00,281,153.4,227.3,76.6,41.9,Very Unhealthy
Faridabad,28.41,77.31,2026-07-13 11:00:00,265,150.8,211.2,74.5,37.0,Very Unhealthy
Faridabad,28.41,77.31,2026-07-13 12:00:00,263,156.9,201.1,72.0,29.6,Very Unhealthy
Faridabad,28.41,77.31,2026-07-13 13:00:00,247,133.8,201.2,72.4,30.3,Very Unhealthy
Faridabad,28.41,77.31,2026-07-13 14:00:00,263,137.4,216.0,61.9,38.5,Very Unhealthy
Faridabad,28.41,77.31,2026-07-13 15:00:00,254,148.8,214.4,73.6,25.9,Very Unhealthy
Faridabad,28.41,77.31,2026-07-13 16:00:00,240,123.9,193.2,55.9,36.7,Very Unhealthy
Faridabad,28.41,77.31,2026-07-13 17:00:00,210,111.1,163.8,59.1,36.0,Very Unhealthy
Faridabad,28.41,77.31,2026-07-13 18:00:00,186,98.3,145.2,45.9,19.3,Unhealthy
Faridabad,28.41,77.31,2026-07-13 19:00:00,208,117.6,166.8,50.9,22.3,Very Unhealthy
Faridabad,28.41,77.31,2026-07-13 20:00:00,265,151.4,221.5,64.2,35.0,Very Unhealthy
Faridabad,28.41,77.31,2026-07-13 21:00:00,276,154.8,209.9,63.3,39.3,Very Unhealthy
Faridabad,28.41,77.31,2026-07-13 22:00:00,268,150.1,217.3,61.7,42.9,Very Unhealthy
Faridabad,28.41,77.31,2026-07-13 23:00:00,139,83.2,118.1,37.9,31.6,Unhealthy for Sensitive Groups
Faridabad,28.41,77.31,2026-07-14 00:00:00,149,87.8,122.8,42.4,25.4,Unhealthy for Sensitive Groups
Faridabad,28.41,77.31,2026-07-14 01:00:00,148,82.6,119.0,40.9,15.0,Unhealthy for Sensitive Groups
Faridabad,28.41,77.31,2026-07-14 02:00:00,91,46.8,69.6,24.9,19.4,Moderate
Faridabad,28.41,77.31,2026-07-14 03:00:00,107,53.9,83.6,29.8,22.6,Unhealthy for Sensitive Groups
