station,lat,lon,timestamp,aqi,pm25,pm10,no2,o3,category
Ghaziabad,28.67,77.44,2026-07-13 00:00:00,154,83.7,119.1,38.7,18.5,Unhealthy
Ghaziabad,28.67,77.44,2026-07-13 01:00:00,140,83.8,118.9,35.2,19.8,Unhealthy for Sensitive Groups
Ghaziabad,28.67,77.44,2026-07-13 02:00:00,153,91.6,118.6,38.2,30.4,Unhealthy
Ghaziabad,28.67,77.44,2026-07-13 03:00:00,169,96.5,137.1,43.3,22.7,Unhealthy
Ghaziabad,28.67,77.44,2026-07-13 04:00:00,113,59.2,94.4,31.0,21.6,Unhealthy for Sensitive Groups
Ghaziabad,28.67,77.44,2026-07-13 05:00:00,146,84.3,115.2,43.2,13.3,Unhealthy for Sensitive Groups
Ghaziabad,28.67,77.44,2026-07-13 06:00:00,205,109.0,156.4,61.1,22.2,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-13 07:00:00,213,115.0,178.9,55.5,25.1,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-13 08:00:00,313,180.1,258.9,65.8,40.4,Hazardous
Ghaziabad,28.67,77.44,2026-07-13 09:00:00,272,144.8,211.0,59.0,32.6,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-13 10:00:00,314,173.6,244.2,68.7,34.2,Hazardous
Ghaziabad,28.67,77.44,2026-07-13 11:00:00,297,164.8,243.7,79.7,42.0,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-13 12:00:00,325,173.8,246.5,68.2,39.6,Hazardous
Ghaziabad,28.67,77.44,2026-07-13 13:00:00,294,158.3,248.6,60.3,39.0,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-13 14:00:00,293,165.7,247.1,69.2,31.8,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-13 15:00:00,258,145.8,210.1,53.3,28.4,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-13 16:00:00,298,156.1,235.0,66.5,31.8,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-13 17:00:00,260,148.7,215.4,54.9,46.0,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-13 18:00:00,216,112.3,182.2,46.5,30.0,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-13 19:00:00,206,107.5,159.5,54.2,25.2,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-13 20:00:00,254,146.7,215.6,74.8,37.7,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-13 21:00:00,282,149.8,214.8,65.2,37.2,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-13 22:00:00,287,163.2,241.4,85.9,38.6,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-13 23:00:00,152,88.1,117.3,45.5,27.2,Unhealthy
Ghaziabad,28.67,77.44,2026-07-14 00:00:00,145,81.6,123.0,32.3,25.0,Unhealthy for Sensitive Groups
Ghaziabad,28.67,77.44,2026-07-14 01:00:00,208,117.6,165.9,43.2,20.1,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-14 02:00:00,128,73.3,97.3,25.8,13.4,Unhealthy for Sensitive Groups
Ghaziabad,28.67,77.44,2026-07-14 03:00:00,147,80.8,113.2,41.6,25.8,Unhealthy for Sensitive Groups
Ghaziabad,28.67,77.44,2026-07-14 04:00:00,115,67.6,86.8,28.8,28.7,Unhealthy for Sensitive Groups
Ghaziabad,28.67,77.44,2026-07-14 05:00:00,126,71.0,106.9,36.8,19.2,Unhealthy for Sensitive Groups
Ghaziabad,28.67,77.44,2026-07-14 06:00:00,246,140.7,191.0,66.8,30.7,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-14 07:00:00,249,136.6,186.9,62.0,35.7,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-14 08:00:00,282,146.2,239.0,59.4,29.2,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-14 09:00:00,323,185.9,274.1,69.2,37.4,Hazardous
Ghaziabad,28.67,77.44,2026-07-14 10:00:00,292,150.1,237.6,67.7,43.1,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-14 11:00:00,305,162.3,231.1,87.3,44.0,Hazardous
Ghaziabad,28.67,77.44,2026-07-14 12:00:00,306,154.6,243.7,66.2,42.5,Hazardous
Ghaziabad,28.67,77.44,2026-07-14 13:00:00,336,185.6,259.9,74.5,39.2,Hazardous
Ghaziabad,28.67,77.44,2026-07-14 14:00:00,345,174.9,289.1,91.2,52.3,Hazardous
Ghaziabad,28.67,77.44,2026-07-14 15:00:00,303,166.7,239.7,75.9,43.1,Hazardous
Ghaziabad,28.67,77.44,2026-07-14 16:00:00,247,147.1,192.1,64.9,32.2,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-14 17:00:00,230,135.1,175.8,57.0,29.4,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-14 18:00:00,261,131.7,219.5,65.1,32.5,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-14 19:00:00,219,111.5,170.2,51.7,27.0,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-14 20:00:00,297,165.0,227.3,74.0,49.6,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-14 21:00:00,271,147.7,222.0,62.0,29.7,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-14 22:00:00,311,163.5,258.5,63.6,51.0,Hazardous
Ghaziabad,28.67,77.44,2026-07-14 23:00:00,179,100.9,141.8,36.6,24.4,Unhealthy
Ghaziabad,28.67,77.44,2026-07-15 00:00:00,178,91.4,136.9,48.7,16.6,Unhealthy
Ghaziabad,28.67,77.44,2026-07-15 01:00:00,127,65.4,107.2,31.7,10.9,Unhealthy for Sensitive Groups
Ghaziabad,28.67,77.44,2026-07-15 02:00:00,149,81.2,113.4,38.9,18.3,Unhealthy for Sensitive Groups
Ghaziabad,28.67,77.44,2026-07-15 03:00:00,166,91.6,135.8,45.6,24.8,Unhealthy
Ghaziabad,28.67,77.44,2026-07-15 04:00:00,157,91.0,125.5,35.8,15.0,Unhealthy
Ghaziabad,28.67,77.44,2026-07-15 05:00:00,117,62.4,92.8,25.2,9.3,Unhealthy for Sensitive Groups
Ghaziabad,28.67,77.44,2026-07-15 06:00:00,237,132.0,187.8,56.2,38.1,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-15 07:00:00,250,136.3,200.7,54.2,35.4,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-15 08:00:00,334,184.5,252.9,78.4,49.3,Hazardous
Ghaziabad,28.67,77.44,2026-07-15 09:00:00,319,178.3,253.7,70.3,39.3,Hazardous
Ghaziabad,28.67,77.44,2026-07-15 10:00:00,335,169.3,261.9,90.1,45.9,Hazardous
Ghaziabad,28.67,77.44,2026-07-15 11:00:00,314,188.2,238.5,74.6,50.0,Hazardous
Ghaziabad,28.67,77.44,2026-07-15 12:00:00,264,143.3,222.7,58.6,40.6,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-15 13:00:00,321,177.4,244.0,80.4,35.7,Hazardous
Ghaziabad,28.67,77.44,2026-07-15 14:00:00,295,160.0,237.6,86.1,49.7,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-15 15:00:00,249,130.0,208.3,55.4,26.6,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-15 16:00:00,279,159.1,224.7,76.5,47.1,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-15 17:00:00,250,125.6,191.9,51.4,42.6,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-15 18:00:00,219,129.5,166.8,62.9,29.7,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-15 19:00:00,225,114.3,191.0,47.8,36.9,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-15 20:00:00,287,153.3,224.3,78.7,41.9,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-15 21:00:00,282,150.1,237.6,79.5,45.3,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-15 22:00:00,328,196.0,268.4,85.2,38.6,Hazardous
Ghaziabad,28.67,77.44,2026-07-15 23:00:00,169,85.2,139.5,36.0,32.5,Unhealthy
Ghaziabad,28.67,77.44,2026-07-16 00:00:00,212,117.1,161.9,48.4,30.0,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-16 01:00:00,181,107.7,152.4,51.8,18.2,Unhealthy
Ghaziabad,28.67,77.44,2026-07-16 02:00:00,135,74.9,108.7,30.7,30.1,Unhealthy for Sensitive Groups
Ghaziabad,28.67,77.44,2026-07-16 03:00:00,165,90.3,137.5,36.4,31.3,Unhealthy
Ghaziabad,28.67,77.44,2026-07-16 04:00:00,158,88.9,121.9,46.8,20.9,Unhealthy
Ghaziabad,28.67,77.44,2026-07-16 05:00:00,130,67.0,108.9,31.0,24.3,Unhealthy for Sensitive Groups
Ghaziabad,28.67,77.44,2026-07-16 06:00:00,272,160.0,228.7,69.5,35.4,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-16 07:00:00,272,145.4,206.8,69.9,37.5,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-16 08:00:00,301,156.4,239.9,78.0,42.2,Hazardous
Ghaziabad,28.67,77.44,2026-07-16 09:00:00,336,190.5,275.8,68.8,37.4,Hazardous
Ghaziabad,28.67,77.44,2026-07-16 10:00:00,327,174.2,263.7,84.7,43.5,Hazardous
Ghaziabad,28.67,77.44,2026-07-16 11:00:00,268,145.7,204.0,72.7,32.9,Very Unhealthy
Ghaziabad,28.67,77.44,2026-07-16 12:00:00,283,160.4,239.1,64.1,33.8,Very Unhealthy
