station,lat,lon,timestamp,aqi,pm25,pm10,no2,o3,category
Gurugram Sector 51,28.44,77.02,2026-07-13 00:00:00,151,80.9,114.1,44.2,33.1,Unhealthy
Gurugram Sector 51,28.44,77.02,2026-07-13 01:00:00,142,74.0,120.7,35.8,21.6,Unhealthy for Sensitive Groups
Gurugram Sector 51,28.44,77.02,2026-07-13 02:00:00,118,68.5,96.8,25.1,14.1,Unhealthy for Sensitive Groups
Gurugram Sector 51,28.44,77.02,2026-07-13 03:00:00,107,57.9,81.0,26.5,11.5,Unhealthy for Sensitive Groups
Gurugram Sector 51,28.44,77.02,2026-07-13 04:00:00,88,52.7,70.8,18.9,14.5,Moderate
Gurugram Sector 51,28.44,77.02,2026-07-13 05:00:00,100,58.8,84.4,22.7,8.9,Moderate
Gurugram Sector 51,28.44,77.02,2026-07-13 06:00:00,168,88.8,136.2,43.6,20.7,Unhealthy
Gurugram Sector 51,28.44,77.02,2026-07-13 07:00:00,155,83.3,123.2,37.2,18.5,Unhealthy
Gurugram Sector 51,28.44,77.02,2026-07-13 08:00:00,204,111.2,156.1,55.2,37.4,Very Unhealthy
Gurugram Sector 51,28.44,77.02,2026-07-13 09:00:00,238,126.5,201.8,54.8,27.0,Very Unhealthy
Gurugram Sector 51,28.44,77.02,2026-07-13 10:00:00,231,127.9,190.5,51.7,41.1,Very Unhealthy
Gurugram Sector 51,28.44,77.02,2026-07-13 11:00:00,219,129.8,184.9,61.1,29.6,Very Unhealthy
Gurugram Sector 51,28.44,77.02,2026-07-13 12:00:00,216,119.6,167.1,48.4,21.4,Very Unhealthy
Gurugram Sector 51,28.44,77.02,2026-07-13 13:00:00,246,144.1,206.4,59.9,32.5,Very Unhealthy
Gurugram Sector 51,28.44,77.02,2026-07-13 14:00:00,210,105.4,160.8,55.2,34.6,Very Unhealthy
Gurugram Sector 51,28.44,77.02,2026-07-13 15:00:00,228,131.4,181.4,46.5,26.7,Very Unhealthy
Gurugram Sector 51,28.44,77.02,2026-07-13 16:00:00,181,104.7,145.6,43.2,28.2,Unhealthy
Gurugram Sector 51,28.44,77.02,2026-07-13 17:00:00,178,104.9,137.9,38.6,18.3,Unhealthy
Gurugram Sector 51,28.44,77.02,2026-07-13 18:00:00,158,93.4,131.8,36.8,15.6,Unhealthy
Gurugram Sector 51,28.44,77.02,2026-07-13 19:00:00,156,79.0,118.1,34.8,24.3,Unhealthy
Gurugram Sector 51,28.44,77.02,2026-07-13 20:00:00,198,115.3,166.2,45.5,36.4,Unhealthy
Gurugram Sector 51,28.44,77.02,2026-07-13 21:00:00,220,123.6,169.1,44.8,29.8,Very Unhealthy
Gurugram Sector 51,28.44,77.02,2026-07-13 22:00:00,212,108.2,163.4,47.0,37.0,Very Unhealthy
Gurugram Sector 51,28.44,77.02,2026-07-13 23:00:00,138,70.1,109.6,38.0,21.8,Unhealthy for Sensitive Groups
Gurugram Sector 51,28.44,77.02,2026-07-14 00:00:00,94,48.8,75.4,26.6,18.1,Moderate
