station,lat,lon,timestamp,aqi,pm25,pm10,no2,o3,category
ITO,28.629,77.24,2026-07-13 00:00:00,164,97.3,132.0,38.6,15.3,Unhealthy
ITO,28.629,77.24,2026-07-13 01:00:00,164,88.0,134.9,37.6,20.6,Unhealthy
ITO,28.629,77.24,2026-07-13 02:00:00,137,75.3,112.6,29.8,27.2,Unhealthy for Sensitive Groups
ITO,28.629,77.24,2026-07-13 03:00:00,162,87.2,132.5,35.4,21.0,Unhealthy
ITO,28.629,77.24,2026-07-13 04:00:00,126,72.1,102.5,33.2,19.1,Unhealthy for Sensitive Groups
ITO,28.629,77.24,2026-07-13 05:00:00,139,79.7,105.8,31.4,27.4,Unhealthy for Sensitive Groups
ITO,28.629,77.24,2026-07-13 06:00:00,236,139.4,187.8,53.9,38.2,Very Unhealthy
ITO,28.629,77.24,2026-07-13 07:00:00,223,114.0,177.8,51.4,26.4,Very Unhealthy
ITO,28.629,77.24,2026-07-13 08:00:00,297,172.0,235.1,77.2,44.4,Very Unhealthy
ITO,28.629,77.24,2026-07-13 09:00:00,307,156.1,232.8,76.4,32.9,Hazardous
ITO,28.629,77.24,2026-07-13 10:00:00,295,159.8,245.6,73.8,38.4,Very Unhealthy
ITO,28.629,77.24,2026-07-13 11:00:00,289,151.4,217.8,83.7,42.3,Very Unhealthy
ITO,28.629,77.24,2026-07-13 12:00:00,267,159.1,222.7,67.0,31.6,Very Unhealthy
ITO,28.629,77.24,2026-07-13 13:00:00,310,181.9,243.7,64.5,37.3,Hazardous
ITO,28.629,77.24,2026-07-13 14:00:00,253,145.1,195.6,75.5,32.0,Very Unhealthy
ITO,28.629,77.24,2026-07-13 15:00:00,271,141.5,214.1,73.0,31.0,Very Unhealthy
ITO,28.629,77.24,2026-07-13 16:00:00,261,153.8,216.6,62.0,41.6,Very Unhealthy
ITO,28.629,77.24,2026-07-13 17:00:00,220,116.9,182.6,55.7,39.6,Very Unhealthy
ITO,28.629,77.24,2026-07-13 18:00:00,237,139.7,184.5,57.2,27.1,Very Unhealthy
ITO,28.629,77.24,2026-07-13 19:00:00,194,110.2,164.7,42.4,19.1,Unhealthy
ITO,28.629,77.24,2026-07-13 20:00:00,251,147.6,193.5,62.3,38.2,Very Unhealthy
ITO,28.629,77.24,2026-07-13 21:00:00,293,158.0,225.5,71.4,48.8,Very Unhealthy
ITO,28.629,77.24,2026-07-13 22:00:00,283,154.6,230.1,76.3,39.7,Very Unhealthy
ITO,28.629,77.24,2026-07-13 23:00:00,169,84.5,130.8,38.1,20.8,Unhealthy
ITO,28.629,77.24,2026-07-14 00:00:00,176,101.7,144.9,37.6,22.1,Unhealthy
ITO,28.629,77.24,2026-07-14 01:00:00,155,80.4,130.0,37.6,28.5,Unhealthy
ITO,28.629,77.24,2026-07-14 02:00:00,112,60.2,93.5,24.7,8.6,Unhealthy for Sensitive Groups
ITO,28.629,77.24,2026-07-14 03:00:00,134,73.2,102.1,29.1,30.3,Unhealthy for Sensitive Groups
ITO,28.629,77.24,2026-07-14 04:00:00,136,78.8,106.2,32.1,14.5,Unhealthy for Sensitive Groups
ITO,28.629,77.24,2026-07-14 05:00:00,173,101.3,137.9,40.7,33.4,Unhealthy
ITO,28.629,77.24,2026-07-14 06:00:00,218,112.4,179.9,50.3,26.8,Very Unhealthy
ITO,28.629,77.24,2026-07-14 07:00:00,223,128.7,174.5,46.1,30.8,Very Unhealthy
ITO,28.629,77.24,2026-07-14 08:00:00,282,153.9,223.9,63.0,44.1,Very Unhealthy
ITO,28.629,77.24,2026-07-14 09:00:00,269,160.4,207.6,77.0,27.3,Very Unhealthy
ITO,28.629,77.24,2026-07-14 10:00:00,307,167.0,260.0,81.0,32.8,Hazardous
ITO,28.629,77.24,2026-07-14 11:00:00,276,139.6,219.3,63.4,37.9,Very Unhealthy
ITO,28.629,77.24,2026-07-14 12:00:00,299,178.1,231.2,78.6,45.9,Very Unhealthy
ITO,28.629,77.24,2026-07-14 13:00:00,305,159.4,230.4,73.6,49.0,Hazardous
ITO,28.629,77.24,2026-07-14 14:00:00,253,146.8,202.8,55.9,42.1,Very Unhealthy
ITO,28.629,77.24,2026-07-14 15:00:00,275,162.2,219.4,74.4,38.6,Very Unhealthy
ITO,28.629,77.24,2026-07-14 16:00:00,271,144.3,209.0,73.5,32.5,Very Unhealthy
ITO,28.629,77.24,2026-07-14 17:00:00,259,147.2,215.4,73.3,35.0,Very Unhealthy
ITO,28.629,77.24,2026-07-14 18:00:00,247,129.9,196.4,58.6,35.2,Very Unhealthy
ITO,28.629,77.24,2026-07-14 19:00:00,196,104.0,165.3,42.3,23.1,Unhealthy
ITO,28.629,77.24,2026-07-14 20:00:00,267,143.2,200.8,60.7,46.9,Very Unhealthy
ITO,28.629,77.24,2026-07-14 21:00:00,280,158.5,230.5,83.2,38.5,Very Unhealthy
ITO,28.629,77.24,2026-07-14 22:00:00,312,182.5,236.5,91.4,49.0,Hazardous
ITO,28.629,77.24,2026-07-14 23:00:00,151,82.0,118.6,43.3,25.0,Unhealthy
ITO,28.629,77.24,2026-07-15 00:00:00,172,92.1,131.2,49.5,17.6,Unhealthy
ITO,28.629,77.24,2026-07-15 01:00:00,143,71.6,119.2,35.2,12.3,Unhealthy for Sensitive Groups
ITO,28.629,77.24,2026-07-15 02:00:00,138,74.9,114.3,36.6,24.3,Unhealthy for Sensitive Groups
ITO,28.629,77.24,2026-07-15 03:00:00,114,66.8,91.7,22.9,13.5,Unhealthy for Sensitive Groups
ITO,28.629,77.24,2026-07-15 04:00:00,161,89.0,131.5,37.0,25.1,Unhealthy
ITO,28.629,77.24,2026-07-15 05:00:00,109,60.6,87.9,22.9,9.9,Unhealthy for Sensitive Groups
ITO,28.629,77.24,2026-07-15 06:00:00,202,105.8,155.6,43.2,28.5,Very Unhealthy
ITO,28.629,77.24,2026-07-15 07:00:00,253,141.2,214.7,63.6,40.6,Very Unhealthy
