station,lat,lon,timestamp,aqi,pm25,pm10,no2,o3,category
Mazgaon,18.97,72.84,2026-07-13 00:00:00,106,58.7,87.0,27.2,9.4,Unhealthy for Sensitive Groups
Mazgaon,18.97,72.84,2026-07-13 01:00:00,75,44.4,58.2,15.8,22.9,Moderate
Mazgaon,18.97,72.84,2026-07-13 02:00:00,95,55.7,73.7,20.2,20.0,Moderate
Mazgaon,18.97,72.84,2026-07-13 03:00:00,70,35.6,56.8,19.1,14.8,Moderate
Mazgaon,18.97,72.84,2026-07-13 04:00:00,60,35.1,50.9,17.1,8.7,Moderate
Mazgaon,18.97,72.84,2026-07-13 05:00:00,65,33.2,53.6,16.5,13.2,Moderate
Mazgaon,18.97,72.84,2026-07-13 06:00:00,128,67.9,103.5,28.2,22.1,Unhealthy for Sensitive Groups
Mazgaon,18.97,72.84,2026-07-13 07:00:00,150,86.6,118.5,36.1,15.3,Unhealthy for Sensitive Groups
Mazgaon,18.97,72.84,2026-07-13 08:00:00,177,100.1,133.5,35.9,34.3,Unhealthy
Mazgaon,18.97,72.84,2026-07-13 09:00:00,183,91.7,148.8,39.8,17.8,Unhealthy
Mazgaon,18.97,72.84,2026-07-13 10:00:00,174,96.9,144.1,48.9,28.6,Unhealthy
Mazgaon,18.97,72.84,2026-07-13 11:00:00,190,97.3,157.0,40.6,26.6,Unhealthy
Mazgaon,18.97,72.84,2026-07-13 12:00:00,176,99.9,148.7,38.8,25.7,Unhealthy
Mazgaon,18.97,72.84,2026-07-13 13:00:00,171,91.4,137.8,38.3,27.7,Unhealthy
Mazgaon,18.97,72.84,2026-07-13 14:00:00,176,96.8,139.0,47.3,28.0,Unhealthy
Mazgaon,18.97,72.84,2026-07-13 15:00:00,153,84.0,126.4,33.5,21.7,Unhealthy
Mazgaon,18.97,72.84,2026-07-13 16:00:00,155,87.4,128.1,38.9,22.9,Unhealthy
Mazgaon,18.97,72.84,2026-07-13 17:00:00,136,81.3,114.6,36.0,17.7,Unhealthy for Sensitive Groups
