station,lat,lon,timestamp,aqi,pm25,pm10,no2,o3,category
Mundka,28.68,77.02,2026-07-13 00:00:00,146,78.6,121.3,39.5,13.0,Unhealthy for Sensitive Groups
Mundka,28.68,77.02,2026-07-13 01:00:00,134,72.7,102.9,26.9,30.0,Unhealthy for Sensitive Groups
Mundka,28.68,77.02,2026-07-13 02:00:00,150,75.6,125.1,30.9,32.4,Unhealthy for Sensitive Groups
Mundka,28.68,77.02,2026-07-13 03:00:00,118,60.8,94.8,31.4,10.2,Unhealthy for Sensitive Groups
Mundka,28.68,77.02,2026-07-13 04:00:00,105,53.6,84.9,26.2,22.2,Unhealthy for Sensitive Groups
Mundka,28.68,77.02,2026-07-13 05:00:00,139,75.7,112.4,40.8,17.0,Unhealthy for Sensitive Groups
Mundka,28.68,77.02,2026-07-13 06:00:00,192,103.5,156.4,53.9,20.8,Unhealthy
Mundka,28.68,77.02,2026-07-13 07:00:00,235,128.2,190.5,54.3,41.4,Very Unhealthy
Mundka,28.68,77.02,2026-07-13 08:00:00,283,158.1,235.1,69.3,35.9,Very Unhealthy
Mundka,28.68,77.02,2026-07-13 09:00:00,265,155.3,217.2,73.3,40.9,Very Unhealthy
Mundka,28.68,77.02,2026-07-13 10:00:00,268,142.8,208.5,74.9,36.1,Very Unhealthy
Mundka,28.68,77.02,2026-07-13 11:00:00,294,169.0,239.1,86.5,49.1,Very Unhealthy
Mundka,28.68,77.02,2026-07-13 12:00:00,282,141.5,239.6,80.2,48.6,Very Unhealthy
Mundka,28.68,77.02,2026-07-13 13:00:00,261,140.8,214.5,57.1,37.9,Very Unhealthy
Mundka,28.68,77.02,2026-07-13 14:00:00,255,147.6,192.3,74.7,28.5,Very Unhealthy
Mundka,28.68,77.02,2026-07-13 15:00:00,259,148.2,214.0,73.2,29.4,Very Unhealthy
Mundka,28.68,77.02,2026-07-13 16:00:00,246,132.0,208.0,65.1,24.9,Very Unhealthy
Mundka,28.68,77.02,2026-07-13 17:00:00,219,130.8,186.0,52.8,27.8,Very Unhealthy
Mundka,28.68,77.02,2026-07-13 18:00:00,241,121.6,186.3,51.2,26.7,Very Unhealthy
