station,lat,lon,timestamp,aqi,pm25,pm10,no2,o3,category
Noida Sector 62,28.61,77.36,2026-07-13 00:00:00,114,64.5,94.4,23.4,23.2,Unhealthy for Sensitive Groups
Noida Sector 62,28.61,77.36,2026-07-13 01:00:00,134,78.1,112.9,27.7,17.8,Unhealthy for Sensitive Groups
Noida Sector 62,28.61,77.36,2026-07-13 02:00:00,107,59.7,88.1,27.4,12.8,Unhealthy for Sensitive Groups
Noida Sector 62,28.61,77.36,2026-07-13 03:00:00,114,60.3,92.9,30.8,26.4,Unhealthy for Sensitive Groups
Noida Sector 62,28.61,77.36,2026-07-13 04:00:00,127,68.1,96.9,30.9,26.2,Unhealthy for Sensitive Groups
Noida Sector 62,28.61,77.36,2026-07-13 05:00:00,101,50.8,85.4,23.5,10.2,Unhealthy for Sensitive Groups
Noida Sector 62,28.61,77.36,2026-07-13 06:00:00,165,95.3,132.1,43.5,28.7,Unhealthy
Noida Sector 62,28.61,77.36,2026-07-13 07:00:00,207,119.8,155.4,48.8,22.9,Very Unhealthy
Noida Sector 62,28.61,77.36,2026-07-13 08:00:00,281,146.3,214.6,75.8,31.2,Very Unhealthy
Noida Sector 62,28.61,77.36,2026-07-13 09:00:00,248,144.8,198.9,56.9,39.4,Very Unhealthy
Noida Sector 62,28.61,77.36,2026-07-13 10:00:00,244,141.3,201.4,62.2,40.7,Very Unhealthy
Noida Sector 62,28.61,77.36,2026-07-13 11:00:00,271,138.1,204.8,56.0,44.8,Very Unhealthy
Noida Sector 62,28.61,77.36,2026-07-13 12:00:00,225,127.6,177.2,51.2,30.7,Very Unhealthy
Noida Sector 62,28.61,77.36,2026-07-13 13:00:00,239,138.7,197.9,53.5,35.1,Very Unhealthy
Noida Sector 62,28.61,77.36,2026-07-13 14:00:00,231,129.7,174.8,55.1,42.4,Very Unhealthy
Noida Sector 62,28.61,77.36,2026-07-13 15:00:00,224,132.9,171.2,66.2,31.6,Very Unhealthy
Noida Sector 62,28.61,77.36,2026-07-13 16:00:00,229,131.7,192.2,59.6,26.3,Very Unhealthy
Noida Sector 62,28.61,77.36,2026-07-13 17:00:00,199,106.4,152.1,59.4,32.6,Unhealthy
Noida Sector 62,28.61,77.36,2026-07-13 18:00:00,193,99.5,149.0,57.3,33.6,Unhealthy
Noida Sector 62,28.61,77.36,2026-07-13 19:00:00,195,109.8,162.1,41.9,23.8,Unhealthy
Noida Sector 62,28.61,77.36,2026-07-13 20:00:00,218,114.1,170.5,59.3,27.5,Very Unhealthy
Noida Sector 62,28.61,77.36,2026-07-13 21:00:00,237,134.1,192.4,63.8,27.0,Very Unhealthy
