station,lat,lon,timestamp,aqi,pm25,pm10,no2,o3,category
Okhla Phase 2,28.54,77.27,2026-07-13 00:00:00,160,83.5,135.7,36.9,33.3,Unhealthy
Okhla Phase 2,28.54,77.27,2026-07-13 01:00:00,166,90.7,139.6,40.2,34.6,Unhealthy
Okhla Phase 2,28.54,77.27,2026-07-13 02:00:00,108,56.8,89.1,30.3,8.5,Unhealthy for Sensitive Groups
Okhla Phase 2,28.54,77.27,2026-07-13 03:00:00,139,72.9,117.9,38.4,18.6,Unhealthy for Sensitive Groups
Okhla Phase 2,28.54,77.27,2026-07-13 04:00:00,115,58.2,87.3,32.2,9.2,Unhealthy for Sensitive Groups
Okhla Phase 2,28.54,77.27,2026-07-13 05:00:00,116,64.3,89.3,32.6,14.9,Unhealthy for Sensitive Groups
Okhla Phase 2,28.54,77.27,2026-07-13 06:00:00,236,140.5,182.4,50.5,33.7,Very Unhealthy
Okhla Phase 2,28.54,77.27,2026-07-13 07:00:00,216,118.1,171.9,63.4,30.7,Very Unhealthy
Okhla Phase 2,28.54,77.27,2026-07-13 08:00:00,299,172.2,236.0,64.3,50.2,Very Unhealthy
Okhla Phase 2,28.54,77.27,2026-07-13 09:00:00,291,167.7,238.7,71.9,40.8,Very Unhealthy
Okhla Phase 2,28.54,77.27,2026-07-13 10:00:00,231,117.3,191.1,66.9,33.0,Very Unhealthy
Okhla Phase 2,28.54,77.27,2026-07-13 11:00:00,265,134.7,206.9,61.5,40.6,Very Unhealthy
Okhla Phase 2,28.54,77.27,2026-07-13 12:00:00,278,160.4,229.1,66.6,47.0,Very Unhealthy
Okhla Phase 2,28.54,77.27,2026-07-13 13:00:00,304,163.4,235.1,77.4,47.4,Hazardous
Okhla Phase 2,28.54,77.27,2026-07-13 14:00:00,275,144.4,230.8,62.7,29.3,Very Unhealthy
Okhla Phase 2,28.54,77.27,2026-07-13 15:00:00,291,158.0,231.6,65.5,39.2,Very Unhealthy
Okhla Phase 2,28.54,77.27,2026-07-13 16:00:00,253,148.4,207.2,54.6,29.2,Very Unhealthy
Okhla Phase 2,28.54,77.27,2026-07-13 17:00:00,251,141.6,194.0,71.9,26.1,Very Unhealthy
Okhla Phase 2,28.54,77.27,2026-07-13 18:00:00,245,131.1,206.3,67.2,28.7,Very Unhealthy
Okhla Phase 2,28.54,77.27,2026-07-13 19:00:00,208,118.4,166.2,57.8,23.2,Very Unhealthy
Okhla Phase 2,28.54,77.27,2026-07-13 20:00:00,273,139.7,215.7,68.9,30.3,Very Unhealthy
Okhla Phase 2,28.54,77.27,2026-07-13 21:00:00,281,146.1,221.3,61.3,46.5,Very Unhealthy
Okhla Phase 2,28.54,77.27,2026-07-13 22:00:00,294,171.0,246.9,80.0,37.9,Very Unhealthy
Okhla Phase 2,28.54,77.27,2026-07-13 23:00:00,149,78.7,126.6,42.6,15.7,Unhealthy for Sensitive Groups
Okhla Phase 2,28.54,77.27,2026-07-14 00:00:00,159,90.3,130.1,32.5,27.3,Unhealthy
Okhla Phase 2,28.54,77.27,2026-07-14 01:00:00,165,86.6,128.0,38.0,31.8,Unhealthy
Okhla Phase 2,28.54,77.27,2026-07-14 02:00:00,155,82.5,128.5,39.8,15.4,Unhealthy
Okhla Phase 2,28.54,77.27,2026-07-14 03:00:00,98,57.4,79.8,26.5,18.1,Moderate
Okhla Phase 2,28.54,77.27,2026-07-14 04:00:00,94,53.1,71.5,22.4,7.7,Moderate
Okhla Phase 2,28.54,77.27,2026-07-14 05:00:00,128,74.6,97.3,28.2,12.7,Unhealthy for Sensitive Groups
Okhla Phase 2,28.54,77.27,2026-07-14 06:00:00,243,140.5,187.5,68.7,32.3,Very Unhealthy
