station,lat,lon,timestamp,aqi,pm25,pm10,no2,o3,category
Punjabi Bagh,28.67,77.13,2026-07-13 00:00:00,157,79.5,131.8,41.5,32.7,Unhealthy
Punjabi Bagh,28.67,77.13,2026-07-13 01:00:00,121,68.5,91.4,24.6,16.2,Unhealthy for Sensitive Groups
Punjabi Bagh,28.67,77.13,2026-07-13 02:00:00,114,62.5,86.0,33.4,21.0,Unhealthy for Sensitive Groups
Punjabi Bagh,28.67,77.13,2026-07-13 03:00:00,127,70.1,104.5,31.0,17.8,Unhealthy for Sensitive Groups
Punjabi Bagh,28.67,77.13,2026-07-13 04:00:00,127,70.6,99.4,26.6,22.0,Unhealthy for Sensitive Groups
Punjabi Bagh,28.67,77.13,2026-07-13 05:00:00,120,63.2,101.3,25.7,16.5,Unhealthy for Sensitive Groups
Punjabi Bagh,28.67,77.13,2026-07-13 06:00:00,221,117.2,182.0,52.9,40.8,Very Unhealthy
Punjabi Bagh,28.67,77.13,2026-07-13 07:00:00,208,107.7,174.9,43.4,24.1,Very Unhealthy
Punjabi Bagh,28.67,77.13,2026-07-13 08:00:00,264,144.1,213.9,76.7,36.1,Very Unhealthy
Punjabi Bagh,28.67,77.13,2026-07-13 09:00:00,261,141.7,202.5,58.6,42.3,Very Unhealthy
Punjabi Bagh,28.67,77.13,2026-07-13 10:00:00,262,138.7,198.9,75.8,42.9,Very Unhealthy
Punjabi Bagh,28.67,77.13,2026-07-13 11:00:00,252,149.4,205.5,59.2,42.8,Very Unhealthy
Punjabi Bagh,28.67,77.13,2026-07-13 12:00:00,244,139.9,205.2,53.1,43.7,Very Unhealthy
Punjabi Bagh,28.67,77.13,2026-07-13 13:00:00,258,146.2,209.8,64.7,26.3,Very Unhealthy
Punjabi Bagh,28.67,77.13,2026-07-13 14:00:00,253,145.4,209.5,51.3,31.4,Very Unhealthy
Punjabi Bagh,28.67,77.13,2026-07-13 15:00:00,230,125.0,186.4,58.2,32.4,Very Unhealthy
Punjabi Bagh,28.67,77.13,2026-07-13 16:00:00,237,140.1,184.0,55.1,43.4,Very Unhealthy
Punjabi Bagh,28.67,77.13,2026-07-13 17:00:00,198,109.3,154.3,53.5,36.9,Unhealthy
Punjabi Bagh,28.67,77.13,2026-07-13 18:00:00,208,116.3,175.0,44.8,27.9,Very Unhealthy
Punjabi Bagh,28.67,77.13,2026-07-13 19:00:00,185,104.5,143.5,37.0,26.2,Unhealthy
Punjabi Bagh,28.67,77.13,2026-07-13 20:00:00,267,145.0,203.5,65.0,43.4,Very Unhealthy
Punjabi Bagh,28.67,77.13,2026-07-13 21:00:00,245,125.4,200.0,53.1,43.6,Very Unhealthy
Punjabi Bagh,28.67,77.13,2026-07-13 22:00:00,285,157.9,226.9,63.4,48.1,Very Unhealthy
Punjabi Bagh,28.67,77.13,2026-07-13 23:00:00,162,97.2,133.0,43.7,30.4,Unhealthy
