station,lat,lon,timestamp,aqi,pm25,pm10,no2,o3,category
RK Puram,28.567,77.18,2026-07-13 00:00:00,163,91.8,122.7,34.4,32.7,Unhealthy
RK Puram,28.567,77.18,2026-07-13 01:00:00,155,81.9,118.5,41.6,23.5,Unhealthy
RK Puram,28.567,77.18,2026-07-13 02:00:00,96,52.9,78.2,20.7,25.6,Moderate
RK Puram,28.567,77.18,2026-07-13 03:00:00,123,66.8,103.9,34.3,18.2,Unhealthy for Sensitive Groups
RK Puram,28.567,77.18,2026-07-13 04:00:00,118,59.8,92.8,28.5,22.9,Unhealthy for Sensitive Groups
RK Puram,28.567,77.18,2026-07-13 05:00:00,130,65.3,102.9,35.7,18.5,Unhealthy for Sensitive Groups
RK Puram,28.567,77.18,2026-07-13 06:00:00,183,98.7,138.5,54.6,35.8,Unhealthy
RK Puram,28.567,77.18,2026-07-13 07:00:00,214,120.4,161.2,53.2,38.4,Very Unhealthy
RK Puram,28.567,77.18,2026-07-13 08:00:00,267,152.8,221.5,63.8,29.9,Very Unhealthy
RK Puram,28.567,77.18,2026-07-13 09:00:00,269,153.8,224.0,54.8,30.7,Very Unhealthy
RK Puram,28.567,77.18,2026-07-13 10:00:00,259,136.4,203.4,66.6,30.4,Very Unhealthy
RK Puram,28.567,77.18,2026-07-13 11:00:00,248,124.7,200.3,50.4,42.4,Very Unhealthy
RK Puram,28.567,77.18,2026-07-13 12:00:00,252,138.9,197.7,72.7,27.9,Very Unhealthy
RK Puram,28.567,77.18,2026-07-13 13:00:00,258,142.8,207.4,57.9,32.4,Very Unhealthy
RK Puram,28.567,77.18,2026-07-13 14:00:00,229,132.0,186.1,48.2,39.5,Very Unhealthy
RK Puram,28.567,77.18,2026-07-13 15:00:00,245,143.3,193.9,49.9,38.3,Very Unhealthy
RK Puram,28.567,77.18,2026-07-13 16:00:00,227,136.1,189.6,60.1,22.8,Very Unhealthy
RK Puram,28.567,77.18,2026-07-13 17:00:00,205,113.9,170.9,43.7,30.0,Very Unhealthy
RK Puram,28.567,77.18,2026-07-13 18:00:00,189,106.8,148.5,46.6,23.4,Unhealthy
RK Puram,28.567,77.18,2026-07-13 19:00:00,162,87.4,130.7,38.5,14.6,Unhealthy
RK Puram,28.567,77.18,2026-07-13 20:00:00,233,139.7,188.2,66.8,24.1,Very Unhealthy
RK Puram,28.567,77.18,2026-07-13 21:00:00,205,106.7,158.5,46.7,38.0,Very Unhealthy
RK Puram,28.567,77.18,2026-07-13 22:00:00,248,128.6,201.6,59.2,30.1,Very Unhealthy
RK Puram,28.567,77.18,2026-07-13 23:00:00,130,74.4,98.3,31.4,23.1,Unhealthy for Sensitive Groups
RK Puram,28.567,77.18,2026-07-14 00:00:00,125,73.1,95.1,35.3,25.0,Unhealthy for Sensitive Groups
RK Puram,28.567,77.18,2026-07-14 01:00:00,131,69.2,109.6,27.5,28.4,Unhealthy for Sensitive Groups
RK Puram,28.567,77.18,2026-07-14 02:00:00,101,54.5,82.4,23.1,24.2,Unhealthy for Sensitive Groups
RK Puram,28.567,77.18,2026-07-14 03:00:00,110,65.7,89.9,30.4,23.4,Unhealthy for Sensitive Groups
RK Puram,28.567,77.18,2026-07-14 04:00:00,88,44.9,72.1,24.2,22.4,Moderate
RK Puram,28.567,77.18,2026-07-14 05:00:00,152,90.5,123.9,39.8,14.0,Unhealthy
RK Puram,28.567,77.18,2026-07-14 06:00:00,222,116.7,171.9,44.6,29.6,Very Unhealthy
RK Puram,28.567,77.18,2026-07-14 07:00:00,214,118.1,175.3,54.0,23.7,Very Unhealthy
RK Puram,28.567,77.18,2026-07-14 08:00:00,253,128.9,191.4,60.5,31.5,Very Unhealthy
RK Puram,28.567,77.18,2026-07-14 09:00:00,276,154.5,227.5,57.8,42.0,Very Unhealthy
RK Puram,28.567,77.18,2026-07-14 10:00:00,256,151.3,194.0,54.6,34.6,Very Unhealthy
RK Puram,28.567,77.18,2026-07-14 11:00:00,259,135.7,203.9,77.1,32.6,Very Unhealthy
RK Puram,28.567,77.18,2026-07-14 12:00:00,277,144.8,219.7,70.8,38.5,Very Unhealthy
RK Puram,28.567,77.18,2026-07-14 13:00:00,279,151.1,217.2,73.9,39.9,Very Unhealthy
RK Puram,28.567,77.18,2026-07-14 14:00:00,223,131.8,177.5,65.4,33.6,Very Unhealthy
RK Puram,28.567,77.18,2026-07-14 15:00:00,235,120.3,180.6,48.8,42.5,Very Unhealthy
RK Puram,28.567,77.18,2026-07-14 16:00:00,227,120.6,176.8,52.7,36.0,Very Unhealthy
RK Puram,28.567,77.18,2026-07-14 17:00:00,202,102.3,158.2,54.6,20.8,Very Unhealthy
RK Puram,28.567,77.18,2026-07-14 18:00:00,161,83.7,130.2,33.0,25.0,Unhealthy
RK Puram,28.567,77.18,2026-07-14 19:00:00,202,117.5,151.8,44.4,32.1,Very Unhealthy
RK Puram,28.567,77.18,2026-07-14 20:00:00,251,127.6,189.4,73.3,42.9,Very Unhealthy
RK Puram,28.567,77.18,2026-07-14 21:00:00,229,119.0,180.7,61.1,35.9,Very Unhealthy
RK Puram,28.567,77.18,2026-07-14 22:00:00,252,135.7,197.5,61.2,40.2,Very Unhealthy
RK Puram,28.567,77.18,2026-07-14 23:00:00,129,64.8,104.9,38.0,18.2,Unhealthy for Sensitive Groups
RK Puram,28.567,77.18,2026-07-15 00:00:00,130,65.1,98.3,33.8,12.1,Unhealthy for Sensitive Groups
RK Puram,28.567,77.18,2026-07-15 01:00:00,139,80.1,104.3,34.8,17.0,Unhealthy for Sensitive Groups
RK Puram,28.567,77.18,2026-07-15 02:00:00,115,65.1,97.0,26.8,23.7,Unhealthy for Sensitive Groups
RK Puram,28.567,77.18,2026-07-15 03:00:00,123,66.8,97.0,27.0,21.9,Unhealthy for Sensitive Groups
RK Puram,28.567,77.18,2026-07-15 04:00:00,132,66.6,106.8,32.6,18.6,Unhealthy for Sensitive Groups
RK Puram,28.567,77.18,2026-07-15 05:00:00,130,66.0,102.4,34.6,23.7,Unhealthy for Sensitive Groups
RK Puram,28.567,77.18,2026-07-15 06:00:00,192,106.6,160.9,55.7,30.0,Unhealthy
RK Puram,28.567,77.18,2026-07-15 07:00:00,223,132.9,172.3,51.4,24.1,Very Unhealthy
