station,lat,lon,timestamp,aqi,pm25,pm10,no2,o3,category
Worli,19.02,72.81,2026-07-13 00:00:00,80,43.1,66.3,19.5,10.0,Moderate
Worli,19.02,72.81,2026-07-13 01:00:00,96,55.1,74.6,27.5,22.7,Moderate
Worli,19.02,72.81,2026-07-13 02:00:00,74,39.3,56.8,20.2,16.2,Moderate
Worli,19.02,72.81,2026-07-13 03:00:00,59,32.4,44.4,12.0,6.6,Moderate
Worli,19.02,72.81,2026-07-13 04:00:00,70,41.0,52.6,14.6,9.6,Moderate
Worli,19.02,72.81,2026-07-13 05:00:00,74,42.7,59.0,20.4,11.6,Moderate
Worli,19.02,72.81,2026-07-13 06:00:00,98,55.3,74.5,25.1,21.6,Moderate
Worli,19.02,72.81,2026-07-13 07:00:00,131,77.9,110.6,38.2,29.0,Unhealthy for Sensitive Groups
Worli,19.02,72.81,2026-07-13 08:00:00,152,76.6,115.4,37.1,18.9,Unhealthy
Worli,19.02,72.81,2026-07-13 09:00:00,164,91.8,131.2,41.8,21.6,Unhealthy
Worli,19.02,72.81,2026-07-13 10:00:00,149,79.5,118.4,42.7,15.0,Unhealthy for Sensitive Groups
Worli,19.02,72.81,2026-07-13 11:00:00,157,85.1,124.9,41.5,15.8,Unhealthy
Worli,19.02,72.81,2026-07-13 12:00:00,153,86.7,127.4,42.2,16.1,Unhealthy
Worli,19.02,72.81,2026-07-13 13:00:00,156,83.3,123.5,31.9,23.9,Unhealthy
Worli,19.02,72.81,2026-07-13 14:00:00,157,86.6,124.9,34.2,26.9,Unhealthy
Worli,19.02,72.81,2026-07-13 15:00:00,127,64.2,98.9,28.9,18.4,Unhealthy for Sensitive Groups
Worli,19.02,72.81,2026-07-13 16:00:00,130,76.2,108.8,33.3,11.7,Unhealthy for Sensitive Groups
Worli,19.02,72.81,2026-07-13 17:00:00,117,69.4,88.6,24.5,25.3,Unhealthy for Sensitive Groups
Worli,19.02,72.81,2026-07-13 18:00:00,126,71.0,96.8,33.4,12.1,Unhealthy for Sensitive Groups
