timestamp,temperature_2m,humidity_2m,wind_speed_10m,wind_direction_10m,precipitation,pressure,boundary_layer_height
2025-07-20 00:00:00,27.6,83,6.5,182,0.0,975.2,160.0
2025-07-20 01:00:00,27.2,85,5.2,186,0.0,975.0,120.0
2025-07-20 02:00:00,26.7,87,4.4,207,0.0,974.6,75.0
2025-07-20 03:00:00,26.4,89,4.4,215,0.0,974.2,60.0
2025-07-20 04:00:00,26.2,88,4.5,220,0.0,974.5,65.0
2025-07-20 05:00:00,26.1,88,5.1,228,0.0,974.6,75.0
2025-07-20 06:00:00,27.4,86,5.6,222,0.0,974.8,115.0
2025-07-20 07:00:00,28.3,84,5.1,222,0.0,975.1,300.0
2025-07-20 08:00:00,29.5,76,6.4,238,0.0,975.3,505.0
2025-07-20 09:00:00,30.5,71,6.1,236,0.0,975.6,715.0
2025-07-20 10:00:00,31.4,67,6.4,234,0.0,975.7,920.0
2025-07-20 11:00:00,32.5,62,6.9,223,0.0,975.2,1150.0
2025-07-20 12:00:00,33.4,57,7.5,222,0.0,974.7,1340.0
2025-07-20 13:00:00,33.9,55,8.7,223,0.0,973.9,1465.0
2025-07-20 14:00:00,34.2,53,8.8,224,0.0,973.2,1560.0
2025-07-20 15:00:00,34.2,52,7.8,226,0.0,972.7,1545.0
2025-07-20 16:00:00,34.3,51,6.0,243,0.0,972.4,1565.0
2025-07-20 17:00:00,33.9,53,4.6,234,0.0,972.5,1555.0
2025-07-20 18:00:00,32.1,65,4.7,182,0.0,973.8,360.0
2025-07-20 19:00:00,30.9,74,3.3,167,0.0,974.2,65.0
2025-07-20 20:00:00,30.2,77,4.3,180,0.0,974.8,65.0
2025-07-20 21:00:00,29.5,80,4.5,187,0.0,975.4,75.0
2025-07-20 22:00:00,29.0,81,4.9,182,0.0,976.1,80.0
2025-07-20 23:00:00,28.6,82,5.6,180,0.0,976.2,100.0
2025-07-21 00:00:00,28.3,81,6.6,196,0.0,976.2,155.0
2025-07-21 01:00:00,27.9,81,6.6,217,0.0,975.9,140.0
2025-07-21 02:00:00,27.5,82,5.1,219,0.0,975.7,105.0
2025-07-21 03:00:00,27.2,83,6.2,232,0.0,975.4,120.0
2025-07-21 04:00:00,26.8,84,4.9,242,0.0,975.5,100.0
2025-07-21 05:00:00,26.6,86,3.9,246,0.0,976.1,75.0
2025-07-21 06:00:00,28.0,84,4.5,217,0.0,976.9,90.0
2025-07-21 07:00:00,28.4,83,3.6,139,0.0,977.9,95.0
2025-07-21 08:00:00,28.9,79,5.0,159,0.2,978.7,180.0
2025-07-21 09:00:00,30.0,74,6.0,164,0.0,978.9,355.0
2025-07-21 10:00:00,29.9,71,6.1,168,0.1,979.0,445.0
2025-07-21 11:00:00,29.9,73,3.5,159,0.1,979.0,470.0
2025-07-21 12:00:00,30.0,72,4.3,132,0.0,978.4,535.0
2025-07-21 13:00:00,30.7,69,3.9,112,0.0,977.5,695.0
2025-07-21 14:00:00,31.3,66,2.4,103,0.0,976.7,850.0
2025-07-21 15:00:00,31.5,65,2.7,94,0.0,975.8,850.0
2025-07-21 16:00:00,31.4,64,3.6,93,0.0,975.4,860.0
2025-07-21 17:00:00,31.2,66,3.6,90,0.0,974.9,845.0
2025-07-21 18:00:00,29.4,76,4.3,48,0.0,976.5,420.0
2025-07-21 19:00:00,28.8,81,3.9,106,0.0,976.5,335.0
2025-07-21 20:00:00,28.3,86,2.4,126,0.0,976.6,75.0
2025-07-21 21:00:00,28.0,88,2.1,105,0.0,976.9,55.0
2025-07-21 22:00:00,27.5,90,3.1,93,0.0,977.3,95.0
